authors,title,views,citations
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Effectively Selecting a Target Population for a Future Comparative Study,958,37
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Clustering High-Dimensional Time Series Based on Parallelism,798,1
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Robust Variable Selection With Exponential Squared Loss,1349,29
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Bayesian Gaussian Copula Factor Models for Mixed Data,1157,24
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Nonparametric Identification of Copula Structures,687,6
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Copula-Based Regression Estimation and Inference,1250,17
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Simulated Method of Moments Estimation for Copula-Based Multivariate Models,751,11
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Linear Transformation Model With Parametric Covariate Transformations,574,0
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Simultaneous Grouping Pursuit and Feature Selection Over an Undirected Graph,711,10
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",Heteroscedasticity and Autocorrelation Robust Structural Change Detection,753,10
" Monica   Costa   Dias ,  Hidehiko   Ichimura  &  Gerard J.   van den Berg ",The Poisson Compound Decision Problem Revisited,900,5
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Treatment Evaluation With Selective Participation and Ineligibles,539,1
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Effectively Selecting a Target Population for a Future Comparative Study,958,37
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Clustering High-Dimensional Time Series Based on Parallelism,798,1
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Robust Variable Selection With Exponential Squared Loss,1349,29
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Bayesian Gaussian Copula Factor Models for Mixed Data,1157,24
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Nonparametric Identification of Copula Structures,687,6
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Copula-Based Regression Estimation and Inference,1250,17
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Simulated Method of Moments Estimation for Copula-Based Multivariate Models,751,11
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Linear Transformation Model With Parametric Covariate Transformations,574,0
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Simultaneous Grouping Pursuit and Feature Selection Over an Undirected Graph,711,10
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",Heteroscedasticity and Autocorrelation Robust Structural Change Detection,753,10
" Natallia   Katenka ,  Elizaveta   Levina  &  George   Michailidis ",The Poisson Compound Decision Problem Revisited,900,5
 Roderick J.   Little ,In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
 Roderick J.   Little ,Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
 Roderick J.   Little ,A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
 Roderick J.   Little ,Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
 Roderick J.   Little ,Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
 Roderick J.   Little ,A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
 Roderick J.   Little ,Treatment Evaluation With Selective Participation and Ineligibles,539,1
 Roderick J.   Little ,Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
 Roderick J.   Little ,Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
 Roderick J.   Little ,A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
 Roderick J.   Little ,Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
 Roderick J.   Little ,Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
 Roderick J.   Little ,A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
 Roderick J.   Little ,Effectively Selecting a Target Population for a Future Comparative Study,958,37
 Roderick J.   Little ,Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
 Roderick J.   Little ,Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
 Roderick J.   Little ,Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
 Roderick J.   Little ,Clustering High-Dimensional Time Series Based on Parallelism,798,1
 Roderick J.   Little ,Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
 Roderick J.   Little ,Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
 Roderick J.   Little ,Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
 Roderick J.   Little ,Robust Variable Selection With Exponential Squared Loss,1349,29
 Roderick J.   Little ,Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
 Roderick J.   Little ,Bayesian Gaussian Copula Factor Models for Mixed Data,1157,24
 Roderick J.   Little ,Nonparametric Identification of Copula Structures,687,6
 Roderick J.   Little ,Copula-Based Regression Estimation and Inference,1250,17
 Roderick J.   Little ,Simulated Method of Moments Estimation for Copula-Based Multivariate Models,751,11
 Roderick J.   Little ,Linear Transformation Model With Parametric Covariate Transformations,574,0
 Roderick J.   Little ,Simultaneous Grouping Pursuit and Feature Selection Over an Undirected Graph,711,10
 Roderick J.   Little ,Heteroscedasticity and Autocorrelation Robust Structural Change Detection,753,10
 Roderick J.   Little ,The Poisson Compound Decision Problem Revisited,900,5
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Treatment Evaluation With Selective Participation and Ineligibles,539,1
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Effectively Selecting a Target Population for a Future Comparative Study,958,37
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Clustering High-Dimensional Time Series Based on Parallelism,798,1
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Robust Variable Selection With Exponential Squared Loss,1349,29
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Bayesian Gaussian Copula Factor Models for Mixed Data,1157,24
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Nonparametric Identification of Copula Structures,687,6
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Copula-Based Regression Estimation and Inference,1250,17
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Simulated Method of Moments Estimation for Copula-Based Multivariate Models,751,11
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Linear Transformation Model With Parametric Covariate Transformations,574,0
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Simultaneous Grouping Pursuit and Feature Selection Over an Undirected Graph,711,10
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",Heteroscedasticity and Autocorrelation Robust Structural Change Detection,753,10
" Rong   Liu ,  Lijian   Yang  &  Wolfgang K.   Härdle ",The Poisson Compound Decision Problem Revisited,900,5
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Treatment Evaluation With Selective Participation and Ineligibles,539,1
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Effectively Selecting a Target Population for a Future Comparative Study,958,37
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Clustering High-Dimensional Time Series Based on Parallelism,798,1
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Robust Variable Selection With Exponential Squared Loss,1349,29
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Bayesian Gaussian Copula Factor Models for Mixed Data,1157,24
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Nonparametric Identification of Copula Structures,687,6
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Copula-Based Regression Estimation and Inference,1250,17
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Simulated Method of Moments Estimation for Copula-Based Multivariate Models,751,11
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Linear Transformation Model With Parametric Covariate Transformations,574,0
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Simultaneous Grouping Pursuit and Feature Selection Over an Undirected Graph,711,10
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",Heteroscedasticity and Autocorrelation Robust Structural Change Detection,753,10
" Sungduk   Kim ,  Zhen   Chen ,  Zhiwei   Zhang ,  Bruce G.   Simons-Morton  &  Paul S.   Albert ",The Poisson Compound Decision Problem Revisited,900,5
 Ting   Zhang ,In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
 Ting   Zhang ,Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
 Ting   Zhang ,A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
 Ting   Zhang ,Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
 Ting   Zhang ,Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
 Ting   Zhang ,A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
 Ting   Zhang ,Treatment Evaluation With Selective Participation and Ineligibles,539,1
 Ting   Zhang ,Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
 Ting   Zhang ,Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
 Ting   Zhang ,A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
 Ting   Zhang ,Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
 Ting   Zhang ,Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
 Ting   Zhang ,A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
 Ting   Zhang ,Effectively Selecting a Target Population for a Future Comparative Study,958,37
 Ting   Zhang ,Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
 Ting   Zhang ,Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
 Ting   Zhang ,Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
 Ting   Zhang ,Clustering High-Dimensional Time Series Based on Parallelism,798,1
 Ting   Zhang ,Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
 Ting   Zhang ,Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
 Ting   Zhang ,Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
 Ting   Zhang ,Robust Variable Selection With Exponential Squared Loss,1349,29
 Ting   Zhang ,Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
 Ting   Zhang ,Bayesian Gaussian Copula Factor Models for Mixed Data,1157,24
 Ting   Zhang ,Nonparametric Identification of Copula Structures,687,6
 Ting   Zhang ,Copula-Based Regression Estimation and Inference,1250,17
 Ting   Zhang ,Simulated Method of Moments Estimation for Copula-Based Multivariate Models,751,11
 Ting   Zhang ,Linear Transformation Model With Parametric Covariate Transformations,574,0
 Ting   Zhang ,Simultaneous Grouping Pursuit and Feature Selection Over an Undirected Graph,711,10
 Ting   Zhang ,Heteroscedasticity and Autocorrelation Robust Structural Change Detection,753,10
 Ting   Zhang ,The Poisson Compound Decision Problem Revisited,900,5
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Treatment Evaluation With Selective Participation and Ineligibles,539,1
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Effectively Selecting a Target Population for a Future Comparative Study,958,37
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Clustering High-Dimensional Time Series Based on Parallelism,798,1
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
" Tyler J.   Vanderweele ,  Guanglei   Hong ,  Stephanie M.   Jones  &  Joshua L.   Brown ",Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
